pid,init_sched_value,turnaround_time,wait_time,computation_time,response_time
971,65,37734,36058,1676,723
972,65,75957,72711,3246,722
973,62,118934,114048,4886,871
974,62,164857,158222,6635,941
975,62,251880,243604,8276,1007
976,62,276093,266109,9984,1070
977,60,290312,278699,11613,1270
978,57,306892,293994,12898,1329
979,56,340617,325566,15051,1577
980,54,373667,356920,16747,1577
981,51,376242,357896,18346,1577
982,51,385564,365443,20121,1611
984,49,403786,380275,23511,1721
983,49,462264,440456,21808,1719
986,45,472293,445533,26760,1890
985,47,472685,447572,25113,1867
987,45,478773,450161,28612,1888
988,43,488390,458132,30258,1941
989,43,488857,456938,31919,1943
990,41,515058,481096,33962,1994
